,name,link,link_employer,salary,salary_min,salary_max,salary_cur
72,Регулировщик РЭА и приборов,https://hh.ru/vacancy/38417989?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/235170,,,,
73,Мастер по ремонту ноутбуков в Ноутбук1 Сервис,https://hh.ru/vacancy/46944772?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/5445692,от 100000 руб.,100000.0,,руб
74,Инженер разработчик ПЛИС,https://hh.ru/vacancy/47214198?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1543992,,,,
75,Инженер технической поддержки (2-я линия) / Инженер по проработке технических решений,https://hh.ru/vacancy/47123715?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4675165,от 80000 руб.,80000.0,,руб
76,Младший инженер-программист,https://hh.ru/vacancy/47250598?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/153479,,,,
77,Инженер (лазерное медицинское оборудование),https://hh.ru/vacancy/45369650?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/645588,,,,
78,Главный специалист (прикладной программист контроллеров),https://hh.ru/vacancy/46514401?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/103244,,,,
79,Монтажник РЭА,https://hh.ru/vacancy/47253621?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1075575,50000 – 50000 руб.,50000.0,50000.0,руб
80,Электрик,https://hh.ru/vacancy/46721145?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4947149,от 60000 руб.,60000.0,,руб
81,Программист QML/Qt/C++,https://hh.ru/vacancy/47240140?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/115313,,,,
82,Программист-разработчик,https://hh.ru/vacancy/47260340?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/717220,от 120000 руб.,120000.0,,руб
83,Инженер-трассировщик,https://hh.ru/vacancy/46575694?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1146175,,,,
84,Начальник участка сервисного обслуживания,https://hh.ru/vacancy/46850232?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4417124,60000 – 70000 руб.,60000.0,70000.0,руб
85,Руководитель отдела аппаратных разработок,https://hh.ru/vacancy/45470241?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/151518,,,,
86,Системный архитектор (вычислительная техника),https://hh.ru/vacancy/46059347?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1540476,130000 – 160000 руб.,130000.0,160000.0,руб
87,Инженер / Техник (можно без опыта работы),https://hh.ru/vacancy/47195379?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/5162605,,,,
88,"Presale engineer (инженер по поддержке продаж) ЭПУ, АКБ, UPS",https://hh.ru/vacancy/45861749?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/2946307,90000 – 200000 руб.,90000.0,200000.0,руб
89,Инженер-программист (ТКО-1),https://hh.ru/vacancy/46386382?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/973282,от 115000 руб.,115000.0,,руб
